iter	Logloss
0	0.6832955189
1	0.6718688339
2	0.6625399088
3	0.6551892955
4	0.6467809867
5	0.6381953163
6	0.6303788356
7	0.6223932516
8	0.6152609249
9	0.6078244464
10	0.6012840562
11	0.5945128744
12	0.5887927777
13	0.5829278267
14	0.5783276925
15	0.5747673968
16	0.5720356713
17	0.5674102747
18	0.5638526361
19	0.5593528283
20	0.5560607508
21	0.5540763529
22	0.5503861828
23	0.5468200492
24	0.5444474856
25	0.5414675647
26	0.5383891061
27	0.5361086091
28	0.533880421
29	0.531447676
30	0.5291603865
31	0.5260220659
32	0.5228076049
33	0.5202679356
34	0.5181094423
35	0.5155286163
36	0.5140523555
37	0.5119465449
38	0.5108116461
39	0.5084281447
40	0.5064325632
41	0.5052031232
42	0.5034650405
43	0.5017631873
44	0.4996385773
45	0.498127336
46	0.4968113411
47	0.4954646742
48	0.4938621879
49	0.4928809427
50	0.4915831805
51	0.4902629979
52	0.4893081895
53	0.4882141471
54	0.4870643074
55	0.4852384235
56	0.4843331596
57	0.4832945261
58	0.4822589977
59	0.4815484576
60	0.4806206019
61	0.4794356293
62	0.4785744488
63	0.4772286561
64	0.4763698336
65	0.4755313709
66	0.4746549506
67	0.4740344161
68	0.4732570757
69	0.4725903944
70	0.4718036152
71	0.4706559203
72	0.4697454736
73	0.468906775
74	0.4683468428
75	0.4673737235
76	0.4664691473
77	0.4659903194
78	0.4653382114
79	0.4645067912
80	0.4640787283
81	0.4632123043
82	0.4625720093
83	0.4622055151
84	0.4616782928
85	0.4610167959
86	0.4600510055
87	0.4596735498
88	0.4591317403
89	0.4583329437
90	0.4577230967
91	0.4571848877
92	0.456797928
93	0.4563936959
94	0.4554920214
95	0.454882427
96	0.4544482098
97	0.4541304768
98	0.4535573358
99	0.4530116046
100	0.4523394842
101	0.4518478124
102	0.4511232244
103	0.4506585485
104	0.449974813
105	0.4495163445
106	0.4491134407
107	0.4486189797
108	0.4482086867
109	0.4477399814
110	0.4474592306
111	0.4466349537
112	0.4461453458
113	0.4457857238
114	0.4452716072
115	0.4446193581
116	0.4442264611
117	0.4438678602
118	0.4432467893
119	0.4427806932
120	0.4425380526
121	0.4422156567
122	0.4418030459
123	0.4413013122
124	0.4407664865
125	0.4403990212
126	0.4400431563
127	0.4393775206
128	0.4388675207
129	0.4386191332
130	0.438182319
131	0.437914034
132	0.4375547386
133	0.4371213252
134	0.4365967444
135	0.4363154585
136	0.4360601195
137	0.4355803082
138	0.435284944
139	0.4349307913
140	0.4344504619
141	0.4341143022
142	0.433849165
143	0.4335706858
144	0.4333032224
145	0.4329511303
146	0.4326747975
147	0.4324758865
148	0.43202453
149	0.4318196267
150	0.4313348925
151	0.4310482277
152	0.430758647
153	0.430409882
154	0.4299155848
155	0.429635043
156	0.42925447
157	0.4290151063
158	0.4287944374
159	0.4284236878
160	0.4281768043
161	0.4279745118
162	0.4276699154
163	0.4274676685
164	0.4271156761
165	0.4267716567
166	0.4264966236
167	0.4262356284
168	0.425963655
169	0.425791289
170	0.4256353852
171	0.4252830203
172	0.4250159788
173	0.4246536774
174	0.4243035189
175	0.4240525918
176	0.4237464432
177	0.423386388
178	0.4231615449
179	0.4228399059
180	0.4226492496
181	0.4221633875
182	0.4219159519
183	0.4217724578
184	0.4216040284
185	0.4213109345
186	0.4210112391
187	0.420780658
188	0.4205641304
189	0.4203089838
190	0.4200418396
191	0.4198545792
192	0.4196372866
193	0.4193185982
194	0.4190971545
195	0.4187575906
196	0.418588083
197	0.4183169229
198	0.4181253873
199	0.4179159266
200	0.4177383765
201	0.4174359659
202	0.4171908595
203	0.4169101511
204	0.416655199
205	0.4164093635
206	0.4161595869
207	0.4159593642
208	0.4157531941
209	0.4154243246
210	0.4152467222
211	0.4150567877
212	0.4147037267
213	0.4145712965
214	0.414271548
215	0.4140245996
216	0.4138306363
217	0.4135773911
218	0.413316573
219	0.4131873688
220	0.4129275416
221	0.4125428505
222	0.4122547376
223	0.4118939467
224	0.4117324589
225	0.4114972421
226	0.4112573817
227	0.4111105479
228	0.4109242037
229	0.4107555195
230	0.4104525579
231	0.4101415988
232	0.4098712563
233	0.4096777068
234	0.4094371389
235	0.4092416304
236	0.4089509751
237	0.4085691164
238	0.4083280689
239	0.4079954716
240	0.4077366146
241	0.4075476024
242	0.4073730176
243	0.4072636542
244	0.4069572926
245	0.4066195002
246	0.4064209711
247	0.4060631957
248	0.4058012625
249	0.4056501362
250	0.4053827238
251	0.4052230683
252	0.4049839642
253	0.4047331
254	0.4045276548
255	0.404181703
256	0.4039916199
257	0.4037877858
258	0.4036159938
259	0.4033696362
260	0.4030654632
261	0.4028252672
262	0.4026975855
263	0.4025956759
264	0.4023767772
265	0.4020826321
266	0.4018839939
267	0.4016119752
268	0.4013100023
269	0.4010555515
270	0.4007303918
271	0.4004431202
272	0.4002937867
273	0.4000699113
274	0.3999641051
275	0.3999471991
276	0.3996895894
277	0.3995309556
278	0.3993148083
279	0.3992036692
280	0.3989162023
281	0.3986593981
282	0.3983835433
283	0.3981562322
284	0.3980345998
285	0.3978735887
286	0.3977584616
287	0.3974941197
288	0.3973612674
289	0.3973338696
290	0.397195671
291	0.3969838291
292	0.3967316968
293	0.3963608218
294	0.3962009135
295	0.3959603631
296	0.3957641371
297	0.3956769273
298	0.3955725147
299	0.3953574648
300	0.3950525501
301	0.3946386899
302	0.3944083773
303	0.3943133315
304	0.3941339594
305	0.3939752514
306	0.3937275163
307	0.3937011913
308	0.3935821545
309	0.3933693512
310	0.393112583
311	0.392907449
312	0.3926780243
313	0.3923998459
314	0.3921621471
315	0.3918714233
316	0.3916679369
317	0.3915111324
318	0.3913222406
319	0.3911535108
320	0.390958601
321	0.390841384
322	0.3906509608
323	0.3905067562
324	0.3904071031
325	0.3903055386
326	0.3900325867
327	0.3898620149
328	0.3896720056
329	0.3893329875
330	0.3891602617
331	0.3889898651
332	0.3888345264
333	0.3885508613
334	0.3883583127
335	0.3882065569
336	0.3880782324
337	0.3878989413
338	0.3876476371
339	0.3873399648
340	0.3870210659
341	0.3868015858
342	0.3867162721
343	0.3865974674
344	0.3863534997
345	0.3860641256
346	0.3858649462
347	0.3857432626
348	0.3854618135
349	0.3852648898
350	0.3851571702
351	0.3849171211
352	0.3847731185
353	0.3846535808
354	0.384426956
355	0.3841542044
356	0.3839942017
357	0.3838533948
358	0.3836853373
359	0.3835398106
360	0.3833398455
361	0.3830812242
362	0.382834012
363	0.3826163506
364	0.382417397
365	0.3822359232
366	0.38210475
367	0.3820131954
368	0.3818906137
369	0.3816457289
370	0.3814351868
371	0.3812974027
372	0.3811424259
373	0.380992561
374	0.3807440941
375	0.3805387695
376	0.3803635328
377	0.3801065066
378	0.3797882724
379	0.3796053506
380	0.3792250746
381	0.3790281104
382	0.3788121705
383	0.3785206687
384	0.3783265933
385	0.3780660302
386	0.3779163718
387	0.3777528514
388	0.377410627
389	0.3772314649
390	0.3770143116
391	0.3768634288
392	0.3765406386
393	0.3763213159
394	0.3760411259
395	0.3757403045
396	0.3756717159
397	0.3754924097
398	0.3752517196
399	0.3750377854
400	0.3749053691
401	0.3747309519
402	0.3745705505
403	0.3743749139
404	0.3741091363
405	0.3738577401
406	0.3736677761
407	0.3734788067
408	0.3732408711
409	0.3730621445
410	0.372842202
411	0.3726949622
412	0.3725202842
413	0.372351841
414	0.3722141197
415	0.3720426605
416	0.3718993606
417	0.3716524808
418	0.3713485699
419	0.3711957136
420	0.3710721904
421	0.3708021818
422	0.370591802
423	0.3703653809
424	0.3701293595
425	0.3699511824
426	0.3697132724
427	0.3695369809
428	0.3692896955
429	0.3689497717
430	0.3688094491
431	0.3685922029
432	0.3684363816
433	0.3682068279
434	0.3680185165
435	0.3677602093
436	0.3675447036
437	0.3673400524
438	0.3670294648
439	0.3667981657
440	0.3666565208
441	0.3664465657
442	0.3662283533
443	0.3660068353
444	0.3658760605
445	0.365738528
446	0.3655021926
447	0.3653328971
448	0.3650789348
449	0.3649067122
450	0.3646770764
451	0.3645469115
452	0.3641940775
453	0.3639791648
454	0.3636769727
455	0.3634005741
456	0.3632222904
457	0.3629680066
458	0.3626882516
459	0.362529017
460	0.3623030388
461	0.3620251646
462	0.3618482462
463	0.3616761701
464	0.3615233656
465	0.3613649146
466	0.3611380857
467	0.3609893724
468	0.3607300163
469	0.3605792719
470	0.360356281
471	0.3601758432
472	0.3598955892
473	0.3596379379
474	0.3594566449
475	0.3592352161
476	0.3590184573
477	0.3587400699
478	0.3584843933
479	0.3582625489
480	0.3579767866
481	0.3577658676
482	0.3575991061
