iter	Passed	Remaining
409	4542	6536
410	4554	6527
411	4564	6514
412	4576	6504
413	4587	6493
414	4598	6481
415	4609	6470
416	4619	6457
417	4631	6448
418	4644	6440
419	4655	6428
420	4666	6417
421	4677	6407
422	4688	6395
423	4699	6384
424	4710	6372
425	4721	6361
426	4731	6349
427	4744	6340
428	4755	6330
429	4767	6319
430	4778	6308
431	4789	6296
432	4801	6287
433	4813	6277
434	4824	6266
435	4835	6254
436	4843	6239
437	4856	6231
438	4868	6221
439	4878	6209
440	4890	6198
441	4901	6188
442	4913	6178
443	4926	6168
444	4938	6158
445	4950	6148
446	4962	6138
447	4971	6125
448	4981	6112
449	4991	6100
450	5003	6090
451	5015	6080
452	5025	6068
453	5037	6057
454	5049	6047
455	5059	6036
456	5070	6025
457	5081	6014
458	5093	6004
459	5105	5992
460	5117	5983
461	5128	5972
462	5141	5962
463	5152	5951
464	5165	5942
465	5177	5932
466	5189	5922
467	5200	5911
468	5213	5902
469	5224	5891
470	5236	5881
471	5248	5871
472	5261	5861
473	5272	5851
474	5284	5840
475	5297	5831
476	5308	5820
477	5320	5810
478	5332	5800
479	5344	5790
480	5356	5779
481	5367	5768
482	5379	5757
483	5389	5745
484	5400	5734
485	5411	5722
486	5422	5711
487	5433	5700
488	5444	5689
489	5454	5677
490	5465	5665
491	5477	5656
492	5489	5645
493	5500	5633
494	5512	5623
495	5524	5613
496	5537	5603
497	5548	5592
498	5560	5582
499	5569	5569
500	5580	5558
501	5592	5547
502	5602	5536
503	5614	5525
504	5625	5513
505	5637	5503
506	5648	5492
507	5659	5481
508	5670	5469
509	5681	5458
510	5690	5445
511	5702	5435
512	5712	5423
513	5723	5411
514	5735	5401
515	5746	5389
516	5757	5379
517	5768	5368
518	5781	5358
519	5792	5347
520	5803	5335
521	5814	5324
522	5826	5314
523	5836	5302
524	5847	5290
525	5859	5279
526	5870	5268
527	5879	5255
528	5891	5245
529	5902	5233
530	5913	5222
531	5924	5212
532	5934	5199
533	5945	5188
534	5953	5174
535	5965	5164
536	5978	5154
537	5989	5143
538	6001	5132
539	6012	5121
540	6025	5111
541	6037	5101
542	6049	5091
543	6060	5080
544	6071	5069
545	6084	5059
546	6098	5050
547	6112	5041
548	6125	5032
549	6142	5025
550	6159	5018
551	6175	5012
552	6192	5005
553	6206	4996
554	6219	4986
555	6230	4975
556	6242	4964
557	6254	4954
558	6263	4941
559	6275	4930
560	6287	4920
561	6298	4908
562	6314	4901
563	6327	4891
564	6342	4883
565	6356	4874
566	6369	4863
567	6386	4857
568	6402	4849
569	6415	4839
570	6443	4841
571	6467	4839
572	6490	4836
573	6504	4827
574	6513	4814
575	6529	4806
576	6544	4797
577	6559	4789
578	6574	4780
579	6587	4770
580	6601	4760
581	6615	4751
582	6628	4741
583	6641	4730
584	6653	4719
585	6665	4708
586	6676	4697
587	6692	4689
588	6709	4681
589	6719	4669
590	6732	4659
591	6745	4648
592	6755	4636
593	6768	4626
594	6782	4616
595	6792	4604
596	6804	4593
597	6817	4583
598	6829	4571
599	6841	4560
600	6857	4552
601	6872	4543
602	6892	4537
603	6905	4527
604	6919	4517
605	6933	4507
606	6943	4495
607	6956	4485
608	6968	4473
609	6978	4461
610	6989	4449
611	7001	4439
612	7014	4428
613	7023	4415
614	7035	4404
615	7045	4392
616	7055	4379
617	7067	4368
618	7079	4357
619	7089	4345
620	7102	4334
621	7116	4324
622	7130	4314
623	7141	4303
624	7155	4293
625	7170	4283
626	7182	4273
627	7195	4262
628	7208	4251
629	7219	4239
630	7231	4228
631	7243	4217
632	7253	4205
633	7265	4194
634	7275	4181
635	7286	4170
636	7299	4159
637	7310	4147
638	7319	4135
639	7332	4124
640	7343	4112
641	7354	4100
642	7366	4089
643	7378	4078
644	7390	4067
645	7403	4057
646	7417	4046
647	7428	4035
648	7439	4023
649	7452	4012
650	7465	4002
651	7476	3990
652	7487	3978
653	7500	3967
654	7510	3955
655	7520	3943
656	7531	3932
657	7543	3920
658	7554	3909
659	7567	3898
660	7579	3887
661	7591	3875
662	7603	3865
663	7615	3853
664	7626	3842
665	7639	3831
666	7650	3819
667	7663	3808
668	7674	3797
669	7686	3785
670	7699	3774
671	7714	3765
