iter	Logloss
0	0.6830436117
1	0.6714608594
2	0.6620533289
3	0.6545093221
4	0.6460022492
5	0.6373178938
6	0.6283194474
7	0.6202406367
8	0.613223838
9	0.6053732906
10	0.598830504
11	0.5921695629
12	0.5866886628
13	0.5814900909
14	0.5770676088
15	0.5735559478
16	0.5708972134
17	0.5665256001
18	0.5629749423
19	0.5586432072
20	0.5553979748
21	0.5533718544
22	0.5497322256
23	0.546555615
24	0.5437015707
25	0.5408235709
26	0.5379142356
27	0.5356086665
28	0.5334928991
29	0.531103095
30	0.528936201
31	0.5259371997
32	0.5229185392
33	0.5204595212
34	0.5183702017
35	0.5159975128
36	0.5146033864
37	0.5126260057
38	0.5110930443
39	0.5097819297
40	0.5079716973
41	0.5068112717
42	0.5051801603
43	0.5035181557
44	0.5014819412
45	0.500034865
46	0.4987415353
47	0.4974626028
48	0.4958444938
49	0.4945958419
50	0.4933575421
51	0.4924666714
52	0.4915405264
53	0.4904813978
54	0.4898782931
55	0.488373998
56	0.4874956635
57	0.4865742218
58	0.485769205
59	0.4851457821
60	0.4841567298
61	0.4831142724
62	0.4822805426
63	0.4810335122
64	0.4804178574
65	0.4797655693
66	0.4789159218
67	0.4783002929
68	0.4775598634
69	0.476938569
70	0.476146245
71	0.475100682
72	0.4741022385
73	0.4731811791
74	0.4724350554
75	0.4715710739
76	0.4707314521
77	0.4703596867
78	0.4697208791
79	0.4687428209
80	0.4679977339
81	0.4672412411
82	0.4666505401
83	0.4663181161
84	0.4658422895
85	0.4653162306
86	0.4644585711
87	0.4641131758
88	0.4636410536
89	0.4629549913
90	0.4623895356
91	0.4618529248
92	0.4609227437
93	0.4604546358
94	0.4600444303
95	0.4594383554
96	0.4590318321
97	0.4582438292
98	0.4577726281
99	0.4573786732
100	0.4567032074
101	0.4560942187
102	0.455836956
103	0.4552290543
104	0.454659578
105	0.4540954894
106	0.4538474648
107	0.4534477873
108	0.4527856823
109	0.4523459797
110	0.4520535432
111	0.451765273
112	0.4516239923
113	0.451077093
114	0.4507773549
115	0.4502458711
116	0.4497852171
117	0.4495222007
118	0.4491894861
119	0.4489315044
120	0.4482841942
121	0.4479049952
122	0.4476868872
123	0.4472741682
124	0.4466616573
125	0.4463083142
126	0.4459019656
127	0.4456023146
128	0.4453839276
129	0.4450083925
130	0.44451484
131	0.4441412557
132	0.4439263295
133	0.4436844162
134	0.4434468105
135	0.443088931
136	0.4425440934
137	0.4423253253
138	0.4420535199
139	0.441504901
140	0.4409917279
141	0.4407480146
142	0.4405044729
143	0.440163016
144	0.4397465957
145	0.4393933438
146	0.4390205459
147	0.4384804713
148	0.4382691397
149	0.4379478226
150	0.4376837845
151	0.4375519553
152	0.4373813384
153	0.4370928732
154	0.4368191001
155	0.4365814927
156	0.4363065133
157	0.4357915407
158	0.4355401009
159	0.4351647125
160	0.4349893635
161	0.4347628177
162	0.4345142023
163	0.4343418093
164	0.4340810476
165	0.4337993465
166	0.4333591317
167	0.4331150916
168	0.4327748558
169	0.432460226
170	0.4320927963
171	0.4317076054
172	0.4314819667
173	0.4312756348
174	0.4310807614
175	0.4309155262
176	0.4305294153
177	0.4303248563
178	0.4299350067
179	0.4297495055
180	0.4295700117
181	0.4290228687
182	0.4287296749
183	0.4284572937
184	0.4280297145
185	0.4278050254
186	0.4276027113
187	0.4273015519
188	0.4270064904
189	0.4267605344
190	0.4265542917
191	0.4262392405
192	0.4260357083
193	0.4258493694
194	0.425611337
195	0.4254690779
196	0.4252616385
197	0.4249822526
198	0.4247381898
199	0.4244621147
200	0.4242921535
201	0.4241147237
202	0.4238226391
203	0.4236227644
204	0.4235017909
205	0.4231656818
206	0.4229921198
207	0.4226983812
208	0.422464172
209	0.4220334273
210	0.4216727616
211	0.421469397
212	0.4212833026
213	0.4210680574
214	0.4208916855
215	0.4205692005
216	0.42038922
217	0.4201089675
218	0.4197821945
219	0.419642629
220	0.4194445569
221	0.4191172188
222	0.4187524941
223	0.418458305
224	0.4181632699
225	0.4179338465
226	0.4176175884
227	0.4172926209
228	0.4170981901
229	0.4169441467
230	0.4166001589
231	0.4162492035
232	0.4159356039
233	0.4156568605
234	0.4154478214
235	0.4154226114
236	0.4153211568
237	0.4151470221
238	0.4149619895
239	0.4147135358
240	0.4145214694
241	0.4143543522
242	0.4141437718
243	0.4139885765
244	0.4138434308
245	0.413634418
246	0.4133839451
247	0.4131472946
248	0.412965947
249	0.4128098126
250	0.4125822888
251	0.4124495612
252	0.4121060464
253	0.4117563033
254	0.411570664
255	0.4114535361
256	0.411198992
257	0.41082908
258	0.4106732363
259	0.4104382396
260	0.4102350907
261	0.4099622755
262	0.409709141
263	0.4094737528
264	0.4092294214
265	0.4089675601
266	0.4088275372
267	0.4086005856
268	0.4085556012
269	0.4082717506
270	0.408061125
271	0.4078507383
272	0.4076332132
273	0.4074697129
274	0.407347766
275	0.4071544569
276	0.4069758059
277	0.4068293033
278	0.406553897
279	0.4063533389
280	0.4060557501
281	0.4058719091
282	0.4056424801
283	0.4054457581
284	0.4051434793
285	0.4049718368
286	0.4046115011
287	0.4044006332
288	0.4041033982
289	0.4039382239
290	0.4037227954
291	0.4035636687
292	0.4034024917
293	0.4031464571
294	0.4028813032
295	0.4025524805
296	0.4023920764
297	0.4021930143
298	0.4020627981
299	0.4018105921
300	0.4016291491
301	0.4013587821
302	0.4011331747
303	0.400986856
304	0.4008370407
305	0.4006882507
306	0.4005438241
307	0.400515433
308	0.4002731749
309	0.4000250358
310	0.3999355493
311	0.3997734232
312	0.3994949059
313	0.3992994197
314	0.3990334159
315	0.3988932592
316	0.3987585926
317	0.3985842566
318	0.3984364293
319	0.3983026168
320	0.3981193525
321	0.3979513768
322	0.3977915021
323	0.3975942975
324	0.3973675117
325	0.3972408628
326	0.3971323388
327	0.3968589771
328	0.3966722072
329	0.3965671504
330	0.3963546164
331	0.3961649724
332	0.3959475635
333	0.3957235849
334	0.3955382673
335	0.3952794066
336	0.3951146438
337	0.3947954044
338	0.3945768181
339	0.3944176848
340	0.3943176306
341	0.3942250069
342	0.394037913
343	0.3938403555
344	0.3936328569
345	0.3934725584
346	0.3933238136
347	0.39314199
348	0.3929394947
349	0.3927126886
350	0.3925023762
351	0.3923584038
352	0.3921797131
353	0.3919875379
354	0.3918077086
355	0.3917088493
356	0.3914848349
357	0.3911470886
358	0.3909340432
359	0.3907241733
360	0.390581311
361	0.3903706141
362	0.3901259194
363	0.3899791888
364	0.3896644295
365	0.389478491
366	0.3892803681
367	0.3891976153
368	0.388956638
369	0.3887903636
370	0.388570027
371	0.3882380975
372	0.3879957771
373	0.3878335031
374	0.3876724156
375	0.3875902046
376	0.3874811836
377	0.387346502
378	0.3871073803
379	0.3869930942
380	0.3866963858
381	0.3865174621
382	0.3863173931
383	0.3860542889
384	0.3857913274
385	0.3854960591
386	0.385322227
387	0.3852081263
388	0.3849060055
389	0.3847028728
390	0.3844673439
391	0.3842158405
392	0.3839199457
393	0.3836869314
394	0.3834182029
395	0.3831655355
396	0.3829567988
397	0.3826757918
398	0.3825078172
399	0.3823611577
400	0.3821830094
401	0.3819661638
402	0.3816996241
403	0.381457712
404	0.3812556942
405	0.3811463926
406	0.3809632138
407	0.3808198595
408	0.3806016307
409	0.3804386156
410	0.380292513
411	0.3801140513
412	0.3799651337
413	0.3798017083
414	0.3796141621
415	0.3794257673
416	0.3793196822
417	0.3791788728
418	0.3789684657
419	0.378779489
420	0.3786354294
421	0.3784456263
422	0.3782083334
423	0.3779234561
424	0.3776917371
425	0.3774317976
426	0.377223944
427	0.3770978462
428	0.3769383747
429	0.3766572685
430	0.3765459743
431	0.3762777451
432	0.3761494659
433	0.3758933235
434	0.3756385962
435	0.3754032131
436	0.3750872509
437	0.3748461722
438	0.3747232073
439	0.3745590366
440	0.3743724324
441	0.3741973431
442	0.3740028582
443	0.3738290304
444	0.3735467775
445	0.3733558833
446	0.3731583585
447	0.3729555146
448	0.3727027233
449	0.3724806938
450	0.3723235061
451	0.3720689577
452	0.3718901289
453	0.371703703
454	0.3714944145
455	0.3714064358
456	0.3712122103
457	0.3710194621
458	0.3708238715
459	0.370562414
